"subjectID" "sire" "dam" "sex" "generation" "phenotype" "genetic_origin" "batch"
"125" 186 11 83 "M" 1 0.54243 0 2
"126" 187 11 77 "M" 1 -1.590122 0 2
"127" 188 11 26 "F" 1 -1.966376 0 2
"128" 189 11 40 "F" 1 -0.874632 0 2
"129" 190 12 28 "F" 1 -0.198819 0 2
"130" 191 12 86 "F" 1 1.442369 0 2
"131" 192 12 50 "M" 1 -0.881392 0 2
"132" 193 12 78 "M" 1 0.960702 0 2
"133" 194 1 71 "M" 1 -0.585893 0 2
"134" 195 1 85 "F" 1 0.099513 0 2
"135" 196 1 81 "F" 1 -0.215701 0 2
"136" 197 1 54 "F" 1 -0.293957 0 2
"137" 198 5 37 "M" 1 0.610234 0 2
"138" 199 5 25 "F" 1 0.457892 0 2
"139" 200 5 63 "M" 1 0.990605 0 2
"140" 201 5 65 "M" 1 -1.53662 0 2
"141" 202 15 89 "F" 1 -0.160465 0 2
"142" 203 15 62 "M" 1 0.90132 0 2
"143" 204 15 55 "F" 1 1.714826 0 2
"144" 205 15 99 "M" 1 -0.146867 0 2
"145" 206 10 91 "F" 1 -0.722424 0 2
"146" 207 10 79 "F" 1 1.03284 0 2
"147" 208 10 60 "M" 1 -0.653949 0 2
"148" 209 10 48 "M" 1 1.30998 0 2
"149" 210 7 100 "F" 1 1.232988 0 2
"150" 211 7 46 "M" 1 -0.6632 0 2
"151" 212 7 36 "F" 1 0.282213 0 2
"152" 213 7 64 "F" 1 1.313082 0 2
"153" 214 3 67 "M" 1 -2.018683 0 2
"154" 215 3 35 "M" 1 -1.118431 0 2
"155" 216 3 29 "M" 1 -0.552413 0 2
"156" 217 3 74 "F" 1 -0.207725 0 2
"157" 218 4 98 "M" 1 -1.240446 0 2
"158" 219 4 21 "F" 1 1.066408 0 2
"159" 220 4 27 "M" 1 -0.53644 0 2
"160" 221 4 22 "F" 1 0.684086 0 2
"161" 222 20 75 "M" 1 1.284223 0 2
"162" 223 20 38 "F" 1 0.924053 0 2
"163" 224 20 23 "M" 1 -0.303992 0 2
"164" 225 20 24 "F" 1 0.96375 0 2
"165" 226 2 92 "F" 1 0.403498 0 2
"166" 227 2 31 "M" 1 -0.655385 0 2
"167" 228 2 93 "F" 1 0.482266 0 2
"168" 229 2 80 "M" 1 -0.496694 0 2
"169" 230 13 59 "M" 1 -1.069188 0 2
"170" 231 13 56 "M" 1 -1.87036 0 2
"171" 232 13 53 "F" 1 -2.041478 0 2
"172" 233 13 41 "M" 1 -1.664381 0 2
"173" 234 6 87 "F" 1 -1.722968 0 2
"174" 235 6 34 "F" 1 1.216352 0 2
"175" 236 6 95 "F" 1 0.721974 0 2
"176" 237 6 68 "F" 1 -2.008079 0 2
"177" 238 14 69 "F" 1 -0.599109 0 2
"178" 239 14 33 "M" 1 -0.401206 0 2
"179" 240 14 49 "M" 1 -1.746478 0 2
"180" 241 14 66 "F" 1 -1.149807 0 2
"181" 242 163 72 "M" 2 0.824389 0 2
"182" 243 163 57 "M" 2 0.03477 0 2
"183" 244 163 42 "M" 2 0.168657 0 2
"184" 245 163 70 "F" 2 1.274983 0 2
"185" 246 167 204 "M" 2 0.364182 0 2
"186" 247 167 44 "F" 2 0.478536 0 2
"187" 248 167 61 "M" 2 2.051788 0 2
"188" 249 167 47 "F" 2 1.445826 0 2
"189" 250 209 191 "F" 2 1.177502 0 2
"190" 251 209 76 "F" 2 0.425998 0 2
"191" 252 209 213 "M" 2 0.9853 0 2
"192" 253 209 96 "M" 2 1.484653 0 2
"193" 254 222 210 "M" 2 0.928164 0 3
"194" 255 222 235 "F" 2 1.14341 0 3
"195" 256 222 176 "M" 2 1.834102 0 3
"196" 257 222 162 "F" 2 1.330835 0 3
"197" 258 164 84 "F" 2 0.032024 0 3
"198" 259 164 82 "M" 2 0.605625 0 3
"199" 260 164 58 "F" 2 0.975087 0 3
"200" 261 164 219 "M" 2 -1.274242 0 3
"201" 262 16 43 "M" 2 0.068186 0 3
"202" 263 16 207 "M" 2 1.027631 0 3
"203" 264 16 97 "M" 2 2.72564 0 3
"204" 265 16 32 "M" 2 -0.117533 0 3
"205" 266 18 88 "F" 2 1.744848 0 3
"206" 267 18 73 "F" 2 0.110996 0 3
"207" 268 18 30 "F" 2 0.82007 0 3
"208" 269 18 39 "M" 2 0.039269 0 3
"209" 270 169 225 "F" 2 -0.522437 0 3
"210" 271 169 52 "M" 2 0.711066 0 3
"211" 272 169 223 "M" 2 0.388313 0 3
"212" 273 169 94 "M" 2 -0.484815 0 3
"213" 274 177 179 "M" 2 0.613394 0 3
"214" 275 177 51 "F" 2 -0.35924 0 3
"215" 276 177 236 "M" 2 1.927665 0 3
"216" 277 177 184 "M" 2 1.34715 0 3
"217" 278 8 221 "F" 2 -0.333687 0 3
"218" 279 8 174 "M" 2 1.766407 0 3
"219" 280 8 45 "M" 2 1.235515 0 3
"220" 281 8 90 "M" 2 -0.223432 0 3
"221" 282 17 83 "F" 2 1.382964 0 3
